content,explanation
प्रविश्य तु महारण्यं दण्डकारण्यमात्मवान्।ददर्श रामो दुर्धर्षस्तापसाश्रममण्डलम्।।3.1.1।।,The invincible and selfpossessed Rama entered the great forest of Dandaka and saw there a multitude of hermitages of the ascetics.
कुशचीरपरिक्षिप्तं ब्राह्म्या लक्ष्म्या समावृतम्।यथा प्रदीप्तं दुर्दर्शं गगने सूर्यमण्डलम्।।3.1.2।।,They (the hermitages) were strewn all over with kusa grass and robes by bark with auspicious sacrificial materials around and hence dazzling like the orb of the sun in the sky difficult to gaze.
शरण्यं सर्वभूतानां सुसम्मृष्टाजिरं सदा।मृगैर्बहुभिराकीर्णं पक्षिसङ्घैस्समावृतम्।।3.1.3।।,"The courtyards (of the hermitages) were cleanswept, sprinkled with water and decorated. They provided shelter to all kinds of creatures and were filled all over with  flocks of birds and antelopes."
पूजितं च प्रनृत्तं च नित्यमप्सरसां गणैः।विशालैरग्निशरणैः स्रुग्भाण्डैरजिनैः कुशैः।।3.1.4।।समिद्भिस्तोयकलशैः फलमूलैश्च शोभितम्।आरण्यैश्च महावृक्षैः पुण्यैस्स्वादुफलैर्वृतम्।।3.1.5।।," The hermitages looked glorified with dances by celestial damsels. They were  adorned with vast fire sanctuaries, ladles for sacrificial ceremonies, deerskins and kusa grass faggots for pots of water, roots and fruits. They looked delightful with huge sacred trees of the forest laden with sweet fruits."
बलिहोमार्चितं पुण्यं ब्रह्मघोषनिनादितम्।पुष्पैश्चान्यैः परिक्षिप्तं पद्मिन्या च सपद्मया।।3.1.6।।फलमूलाशनैर्दान्तैश्चीरकृष्णाजिनाम्बरैः।सूर्यवैश्वानराभैश्च पुराणैर्मुनिभिर्वुतम्।।3.1.7।।,"The hermitages where various sacrificial offerings were made reverberated with Vedic chantings. Flowers were scattered all over. There was a lotuspond with lotuses. There were aged, selfrestrained sages glowing like the Sun or the fire, living on fruits and roots, clothed in bark and dark  deerskin."
पुण्यैश्च नियताहारैः शोभितं परमर्षिभिः।तद्ब्रह्मभवनप्रख्यं ब्रह्मघोषनिनादितम्।।3.1.8।।,"The hermitages echoing with  the sounds of Vedic recitations and resembling the very abode of Brahma were adorned with great, holy sages living on regulated diet."
ब्रह्मविद्भिर्महाभागैर्ब्राह्मणैरुपशोभितम्।तद्दृष्ट्वा राघवः श्रीमांस्तापसाश्रममण्डलम्।।3.1.9।।अभ्यगच्छन्महातेजा विज्यं कृत्वा महद्धनुः।,"The illustrious, effulgent Rama saw groups of hermitages adorned with venerable brahmins, with knowledge of the Supreme Spirit. On seeing them he loosened the string of his great bow and went forward."
दिव्यज्ञानोपपन्नास्ते रामं दृष्ट्वा महर्षयः।।3.1.10।।अभ्यगच्छन्स्तदा प्रीता वैदेहीं च यशस्विनीम्।,"On seeing Rama with illustrious Sita, the great sages, richly endowed with divine knowledge, went forward to greet him."
ते तं सोममिवोद्यन्तं दृष्ट्वा वै धर्मचारिणम्।।3.1.11।।लक्ष्मणं चैव दृष्ट्वा तु वैदेहीं च यशस्विनीम्।मङ्गलानि प्रयुञ्जानाः प्रत्यगृह्णन्दृढव्रताः।।3.1.12।।,"The sages, steadfast in their vows, saw Rama who was shining like the rising Moon, Lakshmana and the famed Sita went forward and received them with words of benediction."
रूपसंहननं लक्ष्मीं सौकुमार्यं सुवेषताम्।ददृशुर्विस्मिताकारा रामस्य वनवासिनः।।3.1.13।।,"Those sages living  in the forest were wonderstruck to see the handsome, graceful, delicate and welldressed Rama."
