content,explanation
गच्छता मातुलकुलं भरतेन तदाऽनघ।शत्रुघ्नो नित्यशत्रुघ्नो नीतः प्रीतिपुरस्कृतः।।2.1.1।।, Bharata set out for his maternal uncle's house. He took with him the sinless Satrughna who is always successful in destroying foes and on whom he had bestowed his love and affection.
तत्र न्यवसद्भ्रात्रा सह सत्कारसत्कृतः।मातुलेनाश्वपतिना पुत्रस्नेहेन लालितः।।2.1.2।।,"Treated with warm hospitality and fatherly affection by his maternal uncle Aswapati, Bharata stayed on there along with his brother. "
तत्रापि निवसन्तौ तौ तर्प्यमाणौ च कामतः।भ्रातरौ स्मरतां वीरौ वृद्धं दशरथं नृपम्।।2.1.3।।,Though both the heroic brothers stayed there satisfied on their own they constantly remembered their aged father.
राजाऽपि तौ महातेजा स्सस्मार प्रोषितौ सुतौ।उभौ भरतशत्रुघ्नौ महेन्द्रवरुणोपमौ।।2.1.4।।,"The glorious king Dasaratha also remembered his sons, Bharata and Satrughna, who  were like the great Indra and Varuna, (now) away from home. "
सर्व एव तु तस्येष्टा श्चत्वारः पुरुषर्षभाः।स्वशरीराद्विनिर्वृत्ताश्चत्वार इव बाहवः।।2.1.5।।,"Dasaratha, a bull among men, loved all his four sons equally just as the  arms of his own body. "
तेषामपि महातेजा रामो रतिकरःपितुः।स्वयम्भूरिव भूतानां बभूव गुणवत्तरः।।2.1.6।।,Even among them the brilliant Rama was a source of delight to his father like the Selfborn (Brahma) to all living beings. 
स हि देवैरुदीर्णस्य रावणस्य वधार्थिभिः।अर्थितो मानुषे लोके जज्ञे विष्णुस्सनातनः।।2.1.7।।," Entreated by the devatas desirous of slaying arrogant Ravana, the eternal Visnu was indeed born in the mortal world as Rama."
कौशल्या शुशुभे तेन पुत्रेणामिततेजसा।यथा वरेण देवानामदितिर्वज्रपाणिना।।2.1.8।।,"Kausalya looked splendid with her son, Rama of boundless energy, as did Aditi with the chief of the gods Indra, wielder of thunder."
स हि रूपोपपन्नश्च वीर्यवाननसूयकः।भूमौवनुपमस्सूनुर्गुणैर्दशरथोपमः।।2.1.9।।,"Endowed with beauty and strengh, free from envy, and in virtues equal to Dasaratha, Rama was verily an incomparable son on earth. "
स तु नित्यं प्रशान्तात्मा मृदुपूर्वं च भाषते।उच्यमानोऽपि परुषं नोत्तरं प्रतिपद्यते।।2.1.10।।,"With an unfailing serenity of mind, Rama never paid back harshness with harshness. "
कथञ्चिदुपकारेण कृतेनैकेन तुष्यति।न स्मरत्यपकाराणां शतमप्यात्मवत्तया।।2.1.11।।,"Gifted with selfrestraint, Rama was pleased even with a single benefit done somehow to him, yet did not remember even a hundred offences  committed by others. "
शीलवृद्धैर्ज्ञानवृद्धैर्वयोवृद्धैश्च सज्जनैः।कथयन्नास्त वै नित्यमस्त्रयोग्यान्तरेष्वपि।।2.1.12।।,"Even during intervals of  his practice of weapons he never failed to interact with saintly persons and with people advanced in age, virtue and wisdom. "
बुद्धिमान्मधुराभाषी पूर्वभाषी प्रियंवदः।वीर्यवान्न च वीर्येण महता स्वेन विस्मितः।।2.1.13।।,"Wise and softspoken, he was the first to speak to others words pleasing to hear. Though mighty, he was never proud of his overwhelming strength. "
नचानृतकथो विद्वान् वृद्धानां प्रतिपूजकः।अनुरक्तः प्रजाभिश्च प्रजाश्चाप्यनुरञ्जते।।2.1.14।।,Rama never told lies. He was a learned man. He honoured elders by going forward to them. He loved his subjects as much as his subjects loved him. 
सानुक्रोशो जितक्रोधो ब्राह्मणप्रतिपूजकः।दीनानुकम्पी धर्मज्ञो नित्यं प्रग्रहवांश्चुचिः।।2.1.15।।,"He was kindhearted and compassionate to the distressed, coolheaded and righteous. A worshipper of brahmins he was always selfrestrained and pure in spirit."
कुलोचितमतिः क्षात्रं धर्मं स्वं बहुमन्यते।मन्यते परया कीर्त्या महत्स्वर्गफलं ततः।।2.1.16।।,He entertained thoughts befitting his (great) dynasty and honoured the code of conduct of a kshatriya. He believed one could attain heavenly abode through his great achievements.
नाऽऽश्रेयसि रतो विद्वान्नविरुद्धकथारुचिः।उत्तरोत्तरयुक्तौ च वक्ता वाचस्पतिर्यथा।।2.1.17।।,"A learned man, he evinced no interest in pursuits that did not contribute to one's welfare or had he any liking for speaking against others. But in debates his oratorical flourish was comparable to Brihaspati's. "
अरोगस्तरुणो वाग्मी वपुष्मान्देशकालवित्।लोके पुरुषसारज्ञ स्साधुरेको विनिर्मितः।।2.1.18।।,"He was young, eloquent, healthy and free from disease. He was conscious of (right) time and place (for his pursuits). He was capable of ascertaining the potentiality of men. He was born a sage in this world. "
स तु श्रेष्ठैर्गुणैर्युक्तः प्रजानां पार्थिवात्मजः।बहिश्चर इव प्राणो बभूव गुणतः प्रियः।।2.1.19।।,"Bestowed with such excellent qualities, the prince (Rama) became a favourite of his subjects.  He was like their vital life outside their bodies."
सम्यग्विद्याव्रतस्नातो यथावत्साङ्गवेदवित्।इष्वस्त्रे च पितु श्श्रेष्ठो बभूव भरताग्रजः।।2.1.20।।,"With the appropriate sacred ablution marking the completion of the vow relating to the respective branches of learning in accordance with tradition, this elder brother of Bharata achieved proficiency in the Vedas and its auxiliary sciences. He surpassed his father in archery. "
कल्याणाभिजन स्साधुरदीन स्सत्यवागृजुः।वृद्धैरभिविनीतश्च द्विजैर्धर्मार्थदर्शिभिः।।2.1.21।।," Born in a family of noble descent, he was saintly. A man without meanness.He was truthful and a man of rectitude. The training he received under aged brahmins conversant with dharma and artha made him welldisciplined."
धर्मकामार्थतत्त्वज्ञः स्मृतिमान्प्रतिभानवान्।लौकिके समयाचारे कृतकल्पो विशारदः।।2.1.22।।,"He knew the true nature of dharma, artha and kama. With a sharp memory,  he was a genius. He was highly skilled in accomplishing tasks related to social practices and customs. "
