content,explanation
तपस्स्वाध्यायनिरतं तपस्वी वाग्विदां वरम् ।नारदं परिपप्रच्छ वाल्मीकिर्मुनिपुङ्गवम् ।।1.1.1।। ,"Ascetic Valmiki enquired of Narada, preeminent among the sages ever engaged in the practice of religious austerities or study of the Vedas and best among the eloquent. "
कोन्वस्मिन्साम्प्रतं लोके गुणवान्कश्च वीर्यवान् ।धर्मज्ञश्च कृतज्ञश्च सत्यवाक्यो दृढव्रत:।।1.1.2।। ,"""Who in this world lives today endowed with excellent qualities, prowess, righteousness, gratitude, truthfulness and firmness in his vows?"
चारित्रेण च को युक्तस्सर्वभूतेषु को हित: ।विद्वान्क: कस्समर्थश्च कश्चैकप्रियदर्शन: ।।1.1.3।। ,"Who is that one gifted with good conduct, given to the wellbeing of all living creatures, learned in the lore (knowledge of all things that is known), capable of doing things which others can not do and singularly handsome?  "
"आत्मवान्को जितक्रोधो द्युतिमान्कोऽनसूयक: ।

कस्य बिभ्यति देवाश्च जातरोषस्य संयुगे ।।1.1.4।।
 ","
Who (among men) is selfrestrained? Who has conquered anger? Who is endowed with brilliance and free from envy? Who is that when excited to wrath even the devatas, are afraid of (let alone foes)?"
एतदिच्छाम्यहं श्रोतुं परं कौतूहलं हि मे ।महर्षे त्वं समर्थोऽसि ज्ञातुमेवंविधं नरम् ।।1.1.5।। ," O Maharshi, I intend to hear about such a man whom you are able to place? Indeed great is my curiosity""."
"श्रुत्वा चैतत्ित्रलोकज्ञो वाल्मीकेर्नारदो वच: ।

श्रूयतामिति चामन्त्त्र्य प्रहृष्टो वाक्यमब्रवीत् ।।1.1.6।।
 ","
Invited by Valmiki to take his seat Narada, knower of the three worlds heard him and said with delight, ""Listen to me!"". And thus spoke."
बहवो दुर्लभाश्चैव ये त्वया कीर्तिता गुणा: ।मुने वक्ष्याम्यहं बुद्ध्वा तैर्युक्तश्श्रूयतान्नर: ।।1.1.7।। ,"""O sage rare indeed are men endowed with the many qualities you have described. I  ascertained one. Listen carefully."
इक्ष्वाकुवंशप्रभवो रामो नाम जनैश्श्रुत: ।नियतात्मा महावीर्यो द्युतिमान्धृतिमान् वशी ।।1.1.8।। ,"People have heard his name as Rama, who was born in the race of king Ikshvaku, having steady nature, possessing incomprehensible prowess, selfeffulgent, selfcommanding and subjecting senses under his control."
बुद्धिमान्नीतिमान्वाग्मी श्रीमान् शत्रुनिबर्हण: ।विपुलांसो महाबाहु: कम्बुग्रीवो महाहनु: ।।1.1.9।।,"He (Sri Rama) is a great intellectual, adherent to rules, eloquent, handsome, destroyer of foes (sins), broadshouldered, strongarmed, having conchshaped neck and   prominent cheeks."
"महोरस्को महेष्वासो गूढजत्रुररिन्दमः ।

आजानुबाहुस्सुशिरास्सुललाटस्सुविक्रमः ।।1.1.10।।
 ","
Possessing a broad chest, armed with a great bow, with fleshy collar bones, knee-long arms, a noble head, a graceful forehead and great prowess, he is the destroyer of foes (sins)."
समस्समविभक्ताङ्गस्स्निग्धवर्ण: प्रतापवान् । पीनवक्षा विशालाक्षो लक्ष्मीवान् शुभलक्षणः ।। 1.1.11।। ,"Mighty and powerful, he has a wellproportioned body, neither tall nor short, shining complexion, welldeveloped chest, large eyes, lustrous body and good qualities."
धर्मज्ञस्सत्यसन्धश्च प्रजानां च हिते रतः ।यशस्वी ज्ञानसम्पन्नश्शुचिर्वश्यस्समाधिमान् ।।1.1.12।। ,"Pious, firm in his vows, he is ever intent on doing good to his subjects. He is,  illustrious, wise, and pure at heart. He is obedient to elders (or accessible to those who are dependent on him) and ever meditating (on the means of protecting those who take refuge in him)."
प्रजापतिसमश्श्रीमान् धाता रिपुनिषूदनः ।रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता ।।1.1.13।।,"Auspicious like Brahma, Sri Rama is the sustainer of this world, destroyer of enemies and protector of all living beings and of the moral code."
रक्षिता स्वस्य धर्मस्य स्वजनस्य च रक्षिता ।वेदवेदाङ्गतत्त्वज्ञो धनुर्वेदे च निष्ठितः ।।1.1.14।। ,  He has performed the duties of a king and protected his subjects. knowledgeable in the true nature of the Vedas he is accomplished in military science (he is a great archer).
सर्वशास्त्रार्थतत्त्वज्ञस्स्मृतिमान्प्रतिभानवान् ।सर्वलोकप्रियस्साधुरदीनात्मा विचक्षणः ।।1.1.15।। , Sri Rama knows the true meaning of all scriptures and has a retentive memory. He is talented (possessing brightness of conception). He is beloved and welldisposed towards all people (and courteous even towards those who have done him harm). He has an unperturbed mind (even in times of extreme grief) and is circumspect (in doing right things at the right time).
सर्वदाभिगतस्सद्भिस्समुद्र इव सिन्धुभिः ।आर्यस्सर्वसमश्चैव सदैकप्रियदर्शनः ।।1.1.16।। ,"Sri Rama, like sea to rivers, is accessible to men of virtue and has equal disposition towards all. He always has a pleasing appearance."
स च सर्वगुणोपेत: कौसल्यानन्दवर्धन: ।समुद्र इव गाम्भीर्ये धैर्येण हिमवानिव ।।1.1.17।। ,"Sri Rama, bestowed with all virtues, enhanced the joys of Kausalya,  He is like the sea in deportment and like Himavant in fortitude."
"विष्णुना सदृशो वीर्ये सोमवत्प्रियदर्शनः ।

कालाग्निसदृशः क्रोधे क्षमया पृथिवीसमः ।।1.1.18।।

धनदेन समस्त्यागे सत्ये धर्म इवापरः ।
 ","
Sri Rama is like Visnu in prowess, the Moon in pleasing appearance, the all-consuming fire in anger, the earth in patience, Kubera in charity and the Sun in steadfastness."
तमेवं गुणसम्पन्नं रामं सत्यपराक्रमम् ।।1.1.19।।ज्येष्ठं श्रेष्ठगुणैर्युक्तं प्रियं दशरथस्सुतम् । प्रकृतीनां हितैर्युक्तं प्रकृतिप्रियकाम्यया ।।1.1.20।।यौवराज्येन संयोक्तुमैच्छत्प्रीत्या महीपति: ।       ,"With a desire to promote the welfare of the people king Dasaratha decided to install   Sri Rama, his eldest and affectionate son as heir (apparent) who was bestowed with  all excellent qualities and true prowess, beloved of the people he was ever intent in the welfare of the people."
तस्याभिषेकसम्भारान्दृष्ट्वा भार्याऽथ कैकयी ।।1.1.21।।पूर्वं दत्तवरा देवी वरमेनमयाचत ।  विवासनं च रामस्य भरतस्याभिषेचनम् ।।1.1.22।। ,"Thereafter, having seen the preparations for installation of Rama, queen Kaikeyi who had been promised earlier with boons by Dasaratha demanded of him the exile of Rama and enthronement of Bharata."
स सत्यवचनाद्राजा धर्मपाशेन संयत: ।विवासयामास सुतं रामं दशरथ: प्रियम् ।।1.1.23।। ,"Dasaratha, true to his word and restrained by the bond of duty, sent his beloved  son Rama to the forest."
स जगाम वनं वीर: प्रतिज्ञामनुपालयन्।पितुर्वचननिर्देशात्कैकेय्या: प्रियकारणात् ।।1.1.24।। ,"Mighty Sri Rama inorder to please Kaikeyi and obey the word of command of his father, went to the forest and help the king to keep his promise to Kaikeyi."
तं व्रजन्तं प्रियो भ्राता लक्ष्मणोऽनुजगाम ह ।स्नेहाद्विनयसम्पन्नस्सुमित्रानन्दवर्धन: ।।1.1.25।।भ्रातरं दयितो भ्रातुस्सौभ्रात्रमनुदर्शयन् । ,"Lakshmana  beloved brother to Rama is drawn towards him. Endowed with modesty he is an enhancer of the joy of his mother Sumitra. Displaying his fraternal love, he followed  Rama who was departing to the forest."
रामस्य दयिता भार्या नित्यं प्राणसमा हिता ।।1.1.26।।जनकस्य कुले जाता देवमायेव निर्मिता ।सर्वलक्षणसम्पन्ना नारीणामुत्तमा वधू: ।।1.1.27।।सीताप्यनुगता रामं शशिनं रोहिणी यथा । ,"Born in the race of Janaka and daughterinlaw of Dasaratha, Sita, beloved spouse of Rama is like  his vital breath always desired the wellbeing of Rama she followed him like Rohini, the Moon. Endowed with all virtues she is the foremost woman."
पौरैरनुगतो दूरं पित्रा दशरथेन च ।।1.1.28।।शृङ्गिबेरपुरे सूतं गङ्गाकूले व्यसर्जयत् । गुहमासाद्य धर्मात्मा निषादाधिपतिं प्रियम् ।।1.1.29।।गुहेन सहितो रामो लक्ष्मणेन च सीतया । ,"The citizens and Dasaratha followed Rama for a long distance. Rama of righteous nature having approached Guha, king of nishadas, at Shrungiberapura sent back charioteer Sumantra and Rama along with Sita and Lakshmana crossed river Ganga."
"ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदका: ।।1.1.30।।

चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् ।

रम्यमावसथं कृत्वा रममाणा वने त्रय: ।।1.1.31।।

देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम् ।
 ","
Moving from one forest to another and crossing deep and wide rivers with plenty of waters, reached the Chitrakuta mountain by the command of sage Bharadwaja. They raised a hut made of leaves in the forest located in Chitrakuta mountain. and dwelt there happily resembling devas and gandharvas."
ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदका: ।।1.1.30।।चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् ।रम्यमावसथं कृत्वा रममाणा वने त्रय: ।।1.1.31।।देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम् ।,"Moving from one forest to another and crossing deep and wide rivers with plenty of waters, reached the Chitrakuta mountain by the command of sage Bharadwaja. They raised a hut made of leaves in the forest located in Chitrakuta mountain. and dwelt  there happily resembling devas and gandharvas."
चित्रकूटं गते रामे पुत्रशोकातुरस्तथा ।।1.1.32।।राजा दशरथस्स्वर्गं जगाम विलपन्सुतम् ।,"When Rama had set out to Chitrakuta, king Dasaratha, stricken by the grief over the separation from his son and mourning over him departed to heavens."
