content,explanation
स तां पुष्करिणीं गत्वा पद्मोत्पलझषाकुलाम्। रामस्सौमित्रि सहितो विललापाकुलेन्द्रियः।।4.1.1।।," Arriving with Laksmana at the lake filled with lotuses, lilies and fishes, Rama, his senses oppressed, burst into tears."
तस्य दृष्ट्वैव तां हर्षादिन्द्रियाणि चकम्पिरे।स कामवशमापन्नस्सौमित्रिमिदमब्रवीत्।।4.1.2।।,"He was glad to see it but sad at the thought of Sita. His passion stirred, his senses shaken, he said this to Saumitri:"
सौमित्रे शोभते पम्पा वैदूर्यविमलोदका।फुल्लपद्मोत्पलवती शोभिता विविधैर्द्रुमैः।।4.1.3।।," 'O Saumitri Pampa looks beautiful with its water clear as vaidurya, its lilies and lotuses in full bloom and its trees in all their variety."
सौमित्रे पश्य पम्पायाः काननं शुभदर्शनम्।यत्र राजन्ति शैला वा द्रुमास्सशिखरा इव।।4.1.4।।,'O Saumitri look at the pleasant forest around Pampa where trees stand splendid like mountainpeaks.
मां तु शोकाभिसन्तप्तं माधवः पीडयन्ति वै।भरतस्य च दुःखेन वैदेह्या हरणेन च।।4.1.5।।,"Already saddened due to the abduction of Sita and plight of Bharata, I am tormented by Spring."
शोकार्तस्यापि मे पम्पा शोभते चित्रकानना। व्यवकीर्णा बहुविधैः पुष्पैश्शीतोदका शिवा।।4.1.6।।,"  Though stricken with grief, I feel so delighted to see the auspicious Pampa with its wonderful forest and cool water scattered with flowers."
नलिनैरपि सञ्छन्ना ह्यत्यर्थशुभदर्शना।सर्पव्यालानुचरिता मृगद्विजसमाकुला।।4.1.7।।,"Abounding in lotuses, birds and beasts and vicious serpents moving about, it looks splendid indeed."
अधिकं प्रविभात्येतन्नीलपीतं तु शाद्वलम्।द्रुमाणां विविधैः पुष्पैः परिस्तोमैरिवार्पितम्।।4.1.8।।,"The bluishyellow grass, dotted with different kinds of flowers fallen from the trees shines like a carpet spread."
पुष्पभारसमृद्धानि शिखराणि समन्ततः।लताभिः पुष्पिताग्राभिरुपगूढानि सर्वशः।।4.1.9।।,Entwined with flowering creepers the treetops are covered all over with rich loads of flowers.
सुखानिलोऽयं सौमित्रे कालः प्रचुरमन्मथः।गन्धवान्सुरभिर्मासो जातपुष्पफलद्रुमः।।4.1.10।।,'O Saumitri it is the season of spring. The trees are laden with fruits and fragrant flowers. Ecstatic blows the gentle freeze.
पश्य रूपाणि सौमित्रे वनानां पुष्पशालिनाम्।सृजतां पुष्पवर्षाणि तोयं तोयमुचामिव।।4.1.11।।," 'Look at the flowering trees sending showers of flowers like water dropping from the clouds, O Saumitri"
प्रस्तरेषु च रम्येषु विविधाः काननद्रुमाः।वायुवेगप्रचलिताः पुष्पैरवकिरन्ति गाम्।।4.1.12।।, Various forest trees shaken by the force of the wind scatter flowers on the beautiful rocky surface of earth.
"पतितैः पतमानैश्च पादपस्थैश्च मारुतः।

कुसुमैः पश्य सौमित्रे क्रीडन्निव समन्ततः।।4.1.13।।
 ","
O Saumitri! look, the breeze appears to be playing with the flowers; that are fallen and that are still on the trees."
"विक्षिपन्विविधाश्शाखा नगानां कुसुमोत्कचाः।

मारुतश्चलितस्थानैष्षट्पदैरनुगीयते।।4.1.14।।
 ","
""As the wind shakes the flowers off the branches of various trees the bees bumble in tune with the (whistling) wind."
"मत्तकोकिलसन्नादैर्नर्तयन्निव पादपान्।

शैलकन्दरनिष्क्रान्तः प्रगीत इव चानिलः।।4.1.15।।
 ","
""As if the trees are dancing to the music of the cuckoos and to the sound of the wind coming out of the mountain-caves."
"तेन विक्षिपताऽत्यर्थं पवनेन समन्ततः।

अमी संसक्तशाखाग्रा ग्रथिता इव पादपाः।।4.1.16।।
 ","
""Shaken by the strong wind all over, the tops of trees look as if they are knitted together."
स एष सुखसंस्पर्शो वाति चन्दनशीतलः।गन्धमभ्यवहन्पुण्यं श्रमापनयनोऽनिलः।।4.1.17।।," 'The gentle touch of the breeze that blows, cool like sandalwood, full of pure fragrance, takes away the fatigue of the body."
अमी पवनविक्षिप्ता विनदन्तीव पादपाः।षट्पदैरनुकूजन्तो वनेषु मधुगन्धिषु।।4.1.18।।,"As if the trees are singing, swayed by the wind, while the bees in the forest, fragrant with honey, hum in tune."
गिरिप्रस्थेषु रम्येषु पुष्पवद्भिर्मनोरमैः।संसक्तशिखराश्शैला विराजन्ते महाद्रुमैः।।4.1.19।।, 'The huge trees in the scenic mountainranges look delightful with their blossoms touching the peaks.
पुष्पसञ्छन्नशिखरा मारुतोत्क्षेपचञ्चलाः।अमी मधुकरोत्तंसाः प्रगीता इव पादपाः।।4.1.20।।," With the tops of trees covered with flowers, the black bees hovering (humming) over them, the trees, shaken by the restless wind look like singers. (The trees with the top decked with flowers, the bees like black hair on the head swaying in the wind look like dancing and singing)"
सुपुष्पितांस्तु पश्येमान्कर्णिकारांत्समन्ततः।हाटकप्रतिसञ्छन्नान्नरान्पीताम्बरानिव।।4.1.21।।," 'See these Karnikaras in full bloom all over, looking like people clad in yellow silk adorned with golden ornaments."
अयं वसन्तस्सौमित्रे नानाविहगनादितः।सीतया विप्रहीनस्य शोकसन्दीपनो मम।।4.1.22।।," 'O Saumitri this spring season resonating with the sounds of several kinds of birds, kindles my anguish as I am separated from Sita."
मां हि शोकसमाक्रान्तं सन्तापयति मन्मथः। हृष्टः प्रवदमानश्च ममाह्वयति कोकिलः।।4.1.23।।, 'Kandarpa (Cupid) torments me while I am already griefstricken. The Cuckoo with his challenging cheerfulness mocks me. 
एष दात्यूहको हृष्टो रम्ये मां वननिर्झरे।प्रणदन्मन्मथाविष्टं शोचयिष्यति लक्ष्मण।।4.1.24।।," 'Lakshmana, while I am already lovestricken, the swamphen (gallinule, a marshbird) troubles me with its joyous cackles in the beautiful foreststream. "
श्रुत्वैतस्य पुरा शब्दमाश्रमस्था मम प्रिया।मामाहूय प्रमुदिताः परमं प्रत्यनन्दत।।4.1.25।।," 'While in the hermitage in the past, my beloved was very glad to hear such sounds, invite me to join her and rejoice again."
एवं विचित्राः पतगा नानारावविराविणः।वृक्षगुल्मलताः पश्य सम्पतन्ति समन्ततः।।4.1.26।।,"'See, the different kinds of birds flying towards trees, shrubs and vines making wonderful sounds all over."
विमिश्रा विहगाः पुम्भिरात्मव्यूहाभिनन्दिताः। भृङ्गराजप्रमुदितास्सौमित्रे मधुरस्वनाः।।4.1.27।।,"'O Lakshmana the female birds praised by their flocks, are united with their male partners. Enjoying the sweet sounds of large black bees, they are singing melodiously."
दात्यूहरतिविक्रन्दैः पुंस्कोकिलरुतैरपि। स्वनन्ति पादपाश्चेमे ममानङ्गप्रदीपनाः।।4.1.28।।, These trees seem to enkindle my passion through all sorts of sounds like the loud cackle of swamphens and the sweet warble of the male cuckoos.
