content,explanation
ततो रावणनीतायाः सीतायाः शत्रुकर्शनः।इयेष पदमन्वेष्टुं चारणाचरिते पथि।।5.1.1।।,"Hanuman, crusher of enemies resolved to find the whereabouts of Sita, carried away by Ravana. He followed the path of the Charanas, celestial bards."
दुष्करं निष्प्रतिद्वन्द्वं चिकीर्षन् कर्म वानरः।समुदग्रशिरोग्रीवो गवांपतिरिवाबभौ।।5.1.2।।,"Hanuman who raised his head and neck, intending to cross the formidable ocean which none else could accomplish, looked like a leading bull."
अथ वैडूर्यवर्णेषु शाद्वलेषु महाबलः।धीरः सलिलकल्पेषु विचचार यथासुखम्।।5.1.3।।,"Tawnyhued Hanuman, gifted with extraordinary strength and patience happily strolled on the marshy tracts of grassy land which had the colour of vaidurya."
द्विजान् वित्रासयन् धीमानुरसा पादपान् हरन्।मृगांश्च सुबहून्निघ्नन् प्रवृद्ध इव केसरी।।5.1.4।।,"Wise Hanuman went about like a lion scaring away birds, uprooting trees with his chest, and trampling many animals."
नीललोहितमांजिष्ठपत्रवर्णैः सितासितैः।स्वभावविहितैश्चित्रैर्धातुभिः समलङ्कृतम्।।5.1.5।।कामरूपिभिराविष्टमभीक्ष्णं सपरिच्छदैः।यक्षकिन्नरगन्धर्वैर्देवकल्पैश्च पन्नगैः।।5.1.6।।,"The mountain was as though decorated with mineral rocks of varied colours like blue, red, yellow and green as well as black and white৷৷It was frequently visited  by yakshas, kinneras, gandharvas and nagas surrounded by their retinue, capable of assuming any form at their free will rivalling gods and nagas in splendour."
स तस्य गिरिवर्यस्य तले नागवरायुते।तिष्ठन् कपिवरस्तत्र ह्रदे नाग इवाबभौ।।5.1.7।।,As the monkey leader stood at the foot of the great mountain filled with lordly elephants he looked like an elephant standing at the centre of a pond.
स सूर्याय महेन्द्राय पवनाय स्वयंभुवे।भूतेभ्यश्चाञ्जलिं कृत्वा चकार गमने मतिम्।।5.1.8।।,"Offering salutations with folded palms to the Sungod, to Mahendra, lord of the gods, to the windgod, to the Creator Brahma and to all the attendants of lord Siva, made up his mind to proceed (to Lanka)."
"अञ्जलिं प्राङ्मुखः कुर्वन् पवनायात्मयोनये।

ततो हि ववृधे गन्तुं दक्षिणो दक्षिणां दिशम्।।5.1.9।।
 ","
Hanuman, endowed with great equanimity, facing the east and joining his palms by way of salutaion to the Windgod, his father, he enlarged his size and turned south in order to depart."
प्लवङ्गप्रवरैर्दृष्टः प्लवने कृतनिश्चयः।ववृधे रामवृद्ध्यर्थं समुद्र इव पर्वसु।।5.1.10।।,"Having made up his mind to leap for the cause of Rama, Hanuman began to grow in size just as the sea grows during the fullmoon and newmoon days, while the monkey troops were watching. "
निष्प्रमाणशरीरः सन् लिलङ्घयिषुरर्णवम्।बाहुभ्यां पीडयामास चरणाभ्यां च पर्वतम्।।5.1.11।।,"Having swollen to an immeasurable figure, he pressed on the mountain with his feet and hands in an attempt to cross the ocean."
