content,explanation
"[Hearing Hanuman's report, Rama praises him and embraces.]श्रुत्वा हनुमतो वाक्यं यथावदभिभाषितम् ।रामः प्रीतिसमायुक्तो वाक्यमुत्तरमब्रवीत् ।।6.1.1।। ","Having heard Hanuman's words, full of love, Rama replied. "
कृतं हनुमता कार्यं सुमहद्भुवि दुर्लभम् ।मनसापि यदन्येन न शक्यं धरणीतले ।।6.1.2।।,"""Hanuman You have performed a mighty task indeed, which is difficult even to think of in this world and not possible for any one else on this earth.""  "
न हि तं परिपश्यामि यस्तरेत महार्णवम् ।अन्यत्र गरुडाद्वायोरन्यत्र च हनूमतः ।।6.1.3।। ,"""None else than Garuda or Vayu have I seen to have crossed this great ocean crossed by you, Hanuman."""
देवदानवयक्षाणां गन्धर्वोरगरक्षसाम् । अप्रधृष्यां पुरीं लङ्कां रावणेन सुरक्षिताम् । प्रवष्ट स्सत्त्वमाश्रित्यश्वसन्को नाम निष्क्रमेत् ।।6.1.4।। ,"""Indeed, who has the strength to return alive after entering that city highly protected by Ravana. It is unimaginable even for devas, danavas, yakshas, gandharvas, uragas and rakshasas to cross."""
को विशेत्सुदुराधर्षां राक्षसैश्च सुरक्षिताम् ।यो वीर्यबलसम्पन्नो न समस्याद्धनूमतः ।।6.1.5।।,"""Except for Hanuman, who is abounding in valour and strength, it is not possible for others to enter the inaccessible Lanka highly protected by rakshasas."""
भृत्यकार्यं हनुमता सुग्रीवस्य कृतंमहत् । स्वयं विधाय स्वबलं सदृशं विक्रमस्य च ।।6.1.6।।,"""Hanuman, with his mighty form and valour not only carried out a great task assigned by Sugriva but also what had to be done as duty."" "
यो हि भृत्यो नियुक्तस्सन्भर्त्रा कर्मणि दुष्करे ।कुर्यात्तदनुरागेण तमाहुः पुरुषोत्तमम् ।।6.1.7।।,"""He, who carries out  a formidable task entrusted to him by the master, with love is  said to be the best among men."""
नियुक्तोय: परं कार्यं न कुर्यान्नृपतेः प्रियम् ।भृत्योऽभृत्यस्समर्थोऽपि तमाहुर्मध्यमं नरम् ।।6.1.8।। ,An efficient servant does not only do what is asked but also does the work dear to the king. One who does not do so is said to be mediocre.
नियुक्तो नृपतेः  कार्यं न कुर्याद्यस्समाहितः । भृत्यो युक्तस्समर्थश्च तमाहुः पुरुषाधमम् ।।6.1.9।।,"""If one who is capable and efficient has been entrusted with a task by a king and fails to do the work agreed to, is said to be a lowly person."""
तन्नियोगे नियुक्तेन कृतं कृत्यं हनूमता ।न चात्मा लघुतां नीतस्सुग्रीवश्चापि तोषितः ।।6.1.10।। ,"""Having done the task assigned to him, Hanuman carried out what had to be done and accomplished without difficulty. This made Sugriva also happy.""  "
